fc_low,fc_high,accuracy,precision,recall,f1,specificity,stage1_pass_rate,stage2_pass_rate,explained_variance,tsne_path_all,tsne_path_lf,tsne_path_bp,tsne_path_hf,pca_grid_path,tn,fp,fn,tp
2.0,12.0,0.6196581196581197,0.6627906976744186,0.48717948717948717,0.5615763546798029,0.7521367521367521,0.9786324786324786,0.6324786324786325,0.799754798412323,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_12.0/tsne_all_fc2.0_12.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_12.0/tsne_lf_fc2.0_12.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_12.0/tsne_bp_fc2.0_12.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_12.0/tsne_hf_fc2.0_12.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_12.0/pca_grid_fc2.0_12.0.png,88,29,60,57
2.0,11.0,0.6025641025641025,0.6463414634146342,0.452991452991453,0.5326633165829145,0.7521367521367521,0.9829059829059829,0.6495726495726496,0.8040288090705872,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_11.0/tsne_all_fc2.0_11.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_11.0/tsne_lf_fc2.0_11.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_11.0/tsne_bp_fc2.0_11.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_11.0/tsne_hf_fc2.0_11.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_11.0/pca_grid_fc2.0_11.0.png,88,29,64,53
2.0,10.0,0.5811965811965812,0.620253164556962,0.4188034188034188,0.5,0.7435897435897436,0.9230769230769231,0.6623931623931624,0.8753563761711121,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_10.0/tsne_all_fc2.0_10.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_10.0/tsne_lf_fc2.0_10.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_10.0/tsne_bp_fc2.0_10.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_10.0/tsne_hf_fc2.0_10.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_10.0/pca_grid_fc2.0_10.0.png,87,30,68,49
2.0,9.0,0.6581196581196581,0.7341772151898734,0.49572649572649574,0.5918367346938775,0.8205128205128205,0.9786324786324786,0.6623931623931624,0.8337910175323486,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_9.0/tsne_all_fc2.0_9.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_9.0/tsne_lf_fc2.0_9.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_9.0/tsne_bp_fc2.0_9.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_9.0/tsne_hf_fc2.0_9.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_9.0/pca_grid_fc2.0_9.0.png,96,21,59,58
2.0,8.0,0.5598290598290598,0.5897435897435898,0.39316239316239315,0.4717948717948718,0.7264957264957265,0.9829059829059829,0.6666666666666666,0.8186900615692139,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_8.0/tsne_all_fc2.0_8.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_8.0/tsne_lf_fc2.0_8.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_8.0/tsne_bp_fc2.0_8.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_8.0/tsne_hf_fc2.0_8.0.png,/home/elicer/liveness_detection/temp_repo/visualizations/band_cut_grid/fc_2.0_8.0/pca_grid_fc2.0_8.0.png,85,32,71,46
